a,b,c,d,e


84.56,83.53,87.13,66.08,94.14


83.16,89.24,78.57,48.47,100.00


78.30,82.98,79.14,58.58,86.14


76.95,84.36,82.31,50.68,86.92


67.36,76.65,86.17,60.63,78.11


71.95,69.61,69.96,50.39,75.68


76.75,41.85,99.87,75.87,55.27


67.32,65.08,87.14,61.64,43.66


76.79,56.58,73.87,60.63,46.34


69.72,46.48,96.37,57.01,47.28


74.81,43.78,83.64,58.77,36.71


62.26,47.10,91.54,60.14,37.39


54.40,54.89,90.28,44.95,51.83


56.39,54.10,78.07,53.16,62.72


73.03,43.77,70.28,70.23,31.01


77.91,38.31,69.71,66.78,30.21


69.26,44.42,86.04,54.34,16.55


76.69,35.38,85.67,57.56,18.46


73.74,32.04,88.53,71.97,14.26


47.87,53.79,87.18,55.40,41.11


66.93,45.04,76.53,52.11,31.20


70.91,40.82,67.47,58.77,40.33


70.53,42.05,57.13,60.11,32.75


61.25,34.72,70.89,62.89,50.61


54.72,50.98,76.00,39.42,25.54


78.80,17.12,62.55,67.62,46.34


54.67,48.40,72.61,51.49,20.28


62.09,39.44,68.32,54.48,29.20


69.36,23.16,86.61,55.73,14.55


83.26,25.24,71.18,47.29,4.33


69.64,29.92,74.12,63.52,6.86


48.70,47.63,66.55,57.02,35.31


64.29,33.28,68.26,54.18,30.01


51.02,44.82,72.50,52.89,27.09


74.80,18.84,85.70,51.20,8.59


62.98,36.74,66.47,47.19,30.41


68.80,31.49,65.92,68.21,7.91


54.23,45.65,68.68,45.97,24.40


56.68,34.14,73.06,52.26,34.41


69.99,41.21,45.09,55.69,24.86


72.96,21.17,69.84,61.04,20.02


79.82,25.85,61.38,53.38,5.80


58.20,24.95,92.09,55.68,9.26


67.62,28.36,64.56,65.68,11.20


62.13,36.30,65.31,56.58,10.24


64.64,32.91,55.57,57.61,25.99


66.72,22.18,71.17,49.75,26.65


66.92,30.10,63.47,50.99,15.71


66.49,26.97,72.39,51.98,3.58


66.01,18.10,71.70,69.38,14.55


61.95,31.43,56.23,61.60,24.17


56.67,26.51,78.07,58.09,14.26


51.32,32.27,71.35,50.89,29.40


73.84,16.57,70.49,55.04,6.15


70.32,15.74,65.48,70.26,10.24


65.17,9.97,79.76,71.16,12.14


68.09,17.76,64.96,72.53,3.19


66.93,29.80,54.37,51.43,12.45


60.65,26.07,74.79,41.39,11.52


71.58,15.49,75.65,43.02,5.44


57.88,24.71,67.97,57.45,19.51


67.86,14.53,75.72,54.75,6.51


55.55,32.38,65.16,57.13,6.86


59.17,27.15,65.86,62.79,2.41


66.09,18.08,74.70,44.24,9.59


66.43,25.27,45.39,70.98,17.38


69.98,17.64,62.16,67.15,0.00


74.72,11.58,69.31,45.10,11.52


63.94,28.11,57.10,41.36,20.28


77.38,7.61,62.46,63.71,7.56


55.99,24.33,66.89,54.61,19.51


47.92,26.63,73.31,59.30,19.25


62.46,23.60,69.63,44.79,6.51


67.17,19.07,63.80,57.15,3.58


76.97,19.74,56.22,40.93,3.19


63.69,12.61,61.03,49.95,43.66


69.46,14.05,61.53,64.61,6.15


62.40,22.97,63.44,52.92,7.56


59.82,18.33,79.20,47.36,1.63


57.30,18.15,78.43,52.67,4.70


46.51,29.38,74.72,54.02,5.80


70.01,9.43,61.03,72.88,3.19


68.83,11.68,64.22,65.21,1.22


50.11,28.30,65.48,61.94,7.22


54.72,29.47,56.97,44.88,23.47


60.74,29.05,48.92,42.77,24.17


50.40,11.67,84.87,72.01,4.33


63.91,11.42,64.49,60.23,13.66


76.87,6.91,56.41,57.50,2.02


56.32,16.46,71.53,53.45,7.22


56.36,20.52,61.36,52.28,15.42


75.46,3.16,60.57,59.48,0.82


47.06,28.96,64.01,47.70,12.14


47.22,26.88,64.80,47.56,14.84


56.39,18.96,64.62,53.19,3.58


69.48,12.25,59.12,41.45,7.22


52.30,20.74,59.13,53.26,19.25


71.23,8.73,49.52,66.05,4.33


70.98,8.01,62.85,44.12,2.02


70.38,9.31,48.61,66.11,6.51
